log_volume,percentage_of_total_volume
-3.5171264163912461,1.2480387407627705e-13
-2.5583048643592829,2.5772974210780961e-12
-1.9999565727231374,1.4217410106193128e-11
-1.588498141860776,4.5032782329450259e-11
-1.431798275933005,9.69580216916741e-11
-1.1013186887557029,1.8785543315943015e-10
-0.96607387952712931,3.5185017435258722e-10
-0.74446699634930358,5.9167729387991165e-10
-0.63649143586781642,9.37664932309045e-10
-0.58834494592448361,1.3509234223734145e-09
-0.52601260237090208,1.8096282399163403e-09
-0.46832569440001748,2.3416729692275027e-09
-0.3845149869704253,2.9639968589362306e-09
-0.30099785906136,3.7449263156218992e-09
-0.23368383879079282,4.6454482116977328e-09
-0.15490195998574319,5.7355655403457374e-09
-0.091890459607447822,6.996778387722256e-09
-0.022276394711152253,8.4789249939528765e-09
-0.00034627070929139561,1.0134968063980954e-08
0.0,1.4982899551740788e-08
0.0,1.4982899551740788e-08
6.3836596964801773e-05,1.5179038887178476e-08
0.00536757931847575,1.686607529258007e-08
0.026051719290710866,1.8607315595548707e-08
0.048494242025834834,2.0444856344984941e-08
0.079015458680596354,2.2392485052247406e-08
0.10947595085332816,2.4479861512253247e-08
0.13891627795806069,2.6706905564509219e-08
0.17796798288608762,2.9129160978055213e-08
0.21820243593238597,3.1776617004447923e-08
0.25399936435151771,3.4667849524229913e-08
0.2890006515165161,3.7811576497395248e-08
0.3010299956639812,4.4134944854013829e-08
0.3012915792951697,4.4512615945271772e-08
0.32870428537898633,4.7970537425683906e-08
0.35729607887448384,5.1692159254981863e-08
0.37248596464889716,5.5586172600940231e-08
0.38744464365788378,5.9623564123345691e-08
0.40002793360654665,6.3791783276716863e-08
0.41281120152845197,6.8074832632692059e-08
0.42322079885228192,7.2475150974336765e-08
0.44016826172185247,7.7015780717985548e-08
0.46387090059488445,8.1766450265935467e-08
0.47707420360214137,8.6749194041017511e-08
0.47739086788669782,9.1791715873072491e-08
0.48891167949364861,9.68968013140378e-08
0.50047551806202217,1.0214651102726175e-07
0.51817835066640128,1.0757901093338386e-07
0.53201034703702743,1.1321052407700418e-07
0.54516777343421585,1.1902859796457981e-07
0.56167703871342267,1.250287424335664e-07
0.57917138152725833,1.3129216740826637e-07
0.59824319165362261,1.3785268432188772e-07
0.6020599913279624,1.4491453965324565e-07
0.61999741271314679,1.5137109998037968e-07
0.64263414885018544,1.5856129869326154e-07
0.66073488555430848,1.6610664301387781e-07
0.67667678610224669,1.7394879980687798e-07
0.68733656271061527,1.820354133842666e-07
0.694984317256849,1.9029916289880755e-07
0.69879633868407642,1.9867142617877406e-07
0.69897000433601886,2.2462568902811043e-07
0.69897000433601886,2.2462568902811043e-07
0.69897000433601886,2.2462568902811043e-07
0.70203725298492792,2.3230523558194043e-07
0.71179938637099638,2.4085800109620145e-07
0.721626309988761,2.4961245741702517e-07
0.733247916462926,2.5856542777451449e-07
0.74744878738058984,2.6780812839282381e-07
0.76489492623060407,2.7739341557398745e-07
0.77496657441121641,2.8730960811236761e-07
0.77815125038364363,2.9967784818735318e-07
0.781194809043489,3.0747508121834762e-07
0.79019322746434972,3.177526068003063e-07
0.7991596936385188,3.2825896443427083e-07
0.80803397705751578,3.3891955862163568e-07
0.81338174113007611,3.498029666231356e-07
0.81597115775873208,3.6075687225459957e-07
0.82307548643491679,3.7185654804847656e-07
0.83137910902097156,3.831204107630733e-07
0.84003642602584372,3.9470585478729226e-07
0.84509804001425681,4.0755008647999257e-07
0.85445003362258,4.1823736093268457e-07
0.8675908052681508,4.30443664184096e-07
0.87753362878855534,4.4298479272204363e-07
0.88810673085629865,4.5581069632549405e-07
0.89935532856840572,4.6898690355731259e-07
0.90417436828416353,4.8256149787178773e-07
0.9165110084641781,4.960841474167961e-07
0.9289076902439527,5.1018324932131053e-07
0.94208676486593523,5.2464653793384e-07
0.95266731722340525,5.3953827633797029e-07
0.9577411459626608,5.5468169719771311e-07
0.96685756404332868,5.7009759306320952e-07
0.97645228067973455,5.8584157725486587e-07
0.98626716717661089,6.0194994788032783e-07
0.99383000331807569,6.1838495249628584e-07
0.99694924849538114,6.3595164479324123e-07
0.9993422408791226,6.5176764289697442e-07
0.99972969787364541,6.6855854483630952e-07
1.0,7.6652689160711893e-07
1.0,7.6652689160711893e-07
1.0,7.6652689160711893e-07
1.0,7.6652689160711893e-07
1.0,7.6652689160711893e-07
1.0000770370081089,7.6940487532565706e-07
1.0013814627159354,7.8623876269300539e-07
1.0062519657519129,8.0318459913540026e-07
1.0124153747624329,8.2037386372963954e-07
1.0189397938826952,8.3777799478589978e-07
1.0243496933599119,8.5544865652750152e-07
1.0307431409332803,8.7336442961717542e-07
1.0374117555841416,8.9154546422867711e-07
1.0413926851582249,9.1197371515876188e-07
1.0457377470847553,9.2854470423123019e-07
1.0520576134639492,9.4735983769907612e-07
1.0582857292367251,9.6644487439244044e-07
1.0651042325597631,9.8581373711104127e-07
1.0721639127686129,1.0054997008398354e-06
1.0783002190496855,1.0254987292442152e-06
1.0794064778956511,1.0456629111142728e-06
1.0860311376273937,1.0659941055931392e-06
1.0930437195630867,1.08665021229363e-06
1.0997982092170331,1.1076379435907355e-06
1.106870544478654,1.1289722872989836e-06
1.1135596674354755,1.1506158907767393e-06
1.1139433523068367,1.1762156979854946e-06
1.119278098450657,1.1944098470795118e-06
1.1251405606380565,1.2166875612838094e-06
1.1331513831676161,1.2393115446294834e-06
1.1408477408689015,1.2623616227514354e-06
1.146128035678238,1.2872754383059032e-06
1.1520937246206924,1.3094600005786741e-06
1.1599596854048642,1.3335350583086136e-06
1.1665771333108605,1.3580243351788019e-06
1.1720033195066386,1.3828576117519107e-06
1.1757287324728487,1.4079526946185361e-06
1.1760912590556813,1.4667315786931788e-06
1.1760912590556813,1.4667315786931788e-06
1.1781856959289922,1.4836200956208898e-06
1.1835905620597793,1.50910290462232e-06
1.1890023497052769,1.5349187925945209e-06
1.1944995506428033,1.5610525074864256e-06
1.2000284445445093,1.5875271312401466e-06
1.2038484637462348,1.6236470339047272e-06
